Orgunit ID,Data ID,Orgunit name,Data,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,Max Z score,Max modified Z score,Gap weight,Outlier weight,Total weight
PFu8alU2KWG,kmuBTU9NAjw,Embu County,MOH 731  Tested_Couples HV01-15,126,169,220,219,116,103,132,121,114,56,112,148,1.77,4.07,0,200,200
nK0A12Q7MvS,kmuBTU9NAjw,Homa Bay County,MOH 731  Tested_Couples HV01-15,854,923,1025,798,770,388,827,902,643,757,867,586,2.28,3.95,0,426,426
bzOfj0iwfDH,kmuBTU9NAjw,Isiolo County,MOH 731  Tested_Couples HV01-15,41,49,44,64,30,21,25,18,26,21,10,8,2.05,2.26,0,37,37
BjC1xL40gHo,kmuBTU9NAjw,Kakamega County,MOH 731  Tested_Couples HV01-15,240,304,457,260,196,370,218,120,252,183,114,170,2.17,2.93,0,236,236
ihZsJ8alvtb,kmuBTU9NAjw,Kericho County,MOH 731  Tested_Couples HV01-15,153,198,295,259,175,66,153,149,154,136,136,181,2.08,4.89,0,254,254
qKzosKQPl6G,kmuBTU9NAjw,Kiambu County,MOH 731  Tested_Couples HV01-15,1216,1338,1265,1539,1255,1173,1197,1263,1192,1206,1170,1023,2.49,5.21,0,330,330
nrI2khZx3d0,kmuBTU9NAjw,Kilifi County,MOH 731  Tested_Couples HV01-15,477,513,577,563,498,510,848,538,474,472,298,362,2.54,7.03,0,149,149
Ulj33KBau7V,kmuBTU9NAjw,Kirinyaga County,MOH 731  Tested_Couples HV01-15,203,248,419,299,207,187,254,294,285,224,226,187,2.54,2.99,0,181,181
tAbBVBbueqD,kmuBTU9NAjw,Kisumu County,MOH 731  Tested_Couples HV01-15,629,698,835,917,614,754,635,670,532,540,516,544,2.06,2.14,0,284,284
j8o6iO4Njsi,kmuBTU9NAjw,Kitui County,MOH 731  Tested_Couples HV01-15,207,255,293,211,218,184,177,240,187,201,188,120,2,3.24,0,95,95
N7YETT3A9r1,kmuBTU9NAjw,Kwale County,MOH 731  Tested_Couples HV01-15,152,714,777,552,312,752,604,546,672,543,430,361,2.01,1.86,0,417,417
