county,year,month,value
Uasin Gishu County,2020,2,5891
Vihiga County,2020,2,21655
Wajir County,2020,2,73
West Pokot County,2020,2,10414
Baringo County,2020,3,9760
Bomet County,2020,3,1376
Bungoma County,2020,3,75439
Busia County,2020,3,74645
Elgeyo Marakwet County,2020,3,2208
Embu County,2020,3,602
Garissa County,2020,3,732
Homa Bay County,2020,3,42332
Isiolo County,2020,3,1138
Kajiado County,2020,3,1643
Kakamega County,2020,3,110441
Kericho County,2020,3,5742
Kiambu County,2020,3,2050
Kilifi County,2020,3,24557
Kirinyaga County,2020,3,80
Kisii County,2020,3,19625
Kisumu County,2020,3,92411
Kitui County,2020,3,4020
Kwale County,2020,3,21693
Laikipia County,2020,3,284
Lamu County,2020,3,179
Machakos County,2020,3,3869
Makueni County,2020,3,2051
Mandera County,2020,3,509
Marsabit County,2020,3,854
Meru County,2020,3,1739
Migori County,2020,3,77756
Mombasa County,2020,3,10480
Muranga County,2020,3,84
Nairobi County,2020,3,7514
Nakuru County,2020,3,6687
Nandi County,2020,3,7148
Narok County,2020,3,5750
Nyamira County,2020,3,3464
Nyandarua County,2020,3,231
Nyeri County,2020,3,87
Samburu County,2020,3,1753
Siaya County,2020,3,96710
Taita Taveta County,2020,3,243
Tana River County,2020,3,2325
Tharaka Nithi County,2020,3,1986
Trans Nzoia County,2020,3,7812
Turkana County,2020,3,13513
Uasin Gishu County,2020,3,5255
Vihiga County,2020,3,29208
Wajir County,2020,3,77
West Pokot County,2020,3,9983
Baringo County,2020,4,4931
Bomet County,2020,4,404
Bungoma County,2020,4,55647
Busia County,2020,4,51080
Elgeyo Marakwet County,2020,4,1124
Embu County,2020,4,350
Garissa County,2020,4,609
Homa Bay County,2020,4,25987
Isiolo County,2020,4,439
Kajiado County,2020,4,924
Kakamega County,2020,4,88237
Kericho County,2020,4,3690
Kiambu County,2020,4,524
Kilifi County,2020,4,12773
Kirinyaga County,2020,4,83
Kisii County,2020,4,12916
Kisumu County,2020,4,58520
Kitui County,2020,4,1380
Kwale County,2020,4,18888
Laikipia County,2020,4,122
Lamu County,2020,4,88
Machakos County,2020,4,1947
Makueni County,2020,4,1097
Mandera County,2020,4,603
Marsabit County,2020,4,927
Meru County,2020,4,495
Migori County,2020,4,42152
Mombasa County,2020,4,6659
Muranga County,2020,4,51
Nairobi County,2020,4,2810
Nakuru County,2020,4,3461
Nandi County,2020,4,5137
Narok County,2020,4,3318
Nyamira County,2020,4,1887
Nyandarua County,2020,4,94
